title|complexity|area|type|summary|acceptance|status
Add run issue link page|trivial|area:web|type:task|Show related issue links on run details page (Issue seed 53)|Each run lists associated issues with jump links.|
Add Tagging and labels UI|trivial|area:web|type:feature|Implement frontend Tagging and labels UI for improved UX.|Tagging and labels UI is visible and functional in the dashboard.|
Add Theme tokens and contrast|trivial|area:web|type:task|Implement frontend Theme tokens and contrast for improved UX.|Theme tokens and contrast is visible and functional in the dashboard.|
Add theme tokens for accessibility contrast|trivial|area:web|type:task|Define color tokens with accessible contrast for key statuses.|Status chips pass WCAG AA contrast checks.|
Build run history table UI|trivial|area:web|type:task|Implement dashboard table listing run id status duration and seed count.|Table supports basic pagination and links to run detail.|implemented
Create reporting templates page|trivial|area:web|type:task|Add page for creating issue/PR report templates. (Issue seed 60)|Templates can be saved and selected.|
Create run status timeline component|trivial|area:web|type:task|Visual timeline for run state changes from queued to complete. (Issue seed 52)|Timeline updates with real state histories.|
Implement Onboarding checklist modal component|trivial|area:web|type:feature|Implement frontend Onboarding checklist modal for improved UX.|Onboarding checklist modal is visible and functional in the dashboard.|
Implement Virtualized run table component|trivial|area:web|type:feature|Implement frontend Virtualized run table for improved UX.|Virtualized run table is visible and functional in the dashboard.|
Add a fuzzy query builder page|medium|area:web|type:feature|Page for building query objects for run extraction. (Issue seed 51)|User can save and run queries from UI.|
Add accessible keyboard nav blueprint page|medium|area:web|type:feature|Add page to enforce keyboard-first navigation tests. (Issue seed 59)|All controls accessible with tab flow.|
Add Alert presets|medium|area:web|type:task|Implement frontend Alert presets for improved UX.|Alert presets is visible and functional in the dashboard.|
Add API error report|medium|area:web|type:task|Implement frontend API error report for improved UX.|API error report is visible and functional in the dashboard.|
Add Artifact explorer|medium|area:web|type:task|Implement frontend Artifact explorer for improved UX.|Artifact explorer is visible and functional in the dashboard.|
Add Bulk actions for runs|medium|area:web|type:task|Implement frontend Bulk actions for runs for improved UX.|Bulk actions for runs is visible and functional in the dashboard.|
Add downloadable run artifact bundle|medium|area:web|type:feature|Provide one-click download of run artifacts for offline analysis.|Download contains metadata traces and fixture exports.|
Add Issue triage board UI|medium|area:web|type:feature|Implement frontend Issue triage board UI for improved UX.|Issue triage board UI is visible and functional in the dashboard.|
Add log viewer page component|medium|area:web|type:feature|Display structured logs from runs with search. (Issue seed 56)|Logs are searchable and have timestamp anchors.|
Add Notification center UI|medium|area:web|type:feature|Implement frontend Notification center UI for improved UX.|Notification center UI is visible and functional in the dashboard.|
Add Report generator|medium|area:web|type:task|Implement frontend Report generator for improved UX.|Report generator is visible and functional in the dashboard.|
Add Reporting templates manager|medium|area:web|type:task|Implement frontend Reporting templates manager for improved UX.|Reporting templates manager is visible and functional in the dashboard.|
Add role-based maintainer view toggles|medium|area:web|type:feature|Support maintainer-focused view presets for triage and review cadence.|Toggle persists per user and changes default dashboard modules.|
Add Run annotations|medium|area:web|type:task|Implement frontend Run annotations for improved UX.|Run annotations is visible and functional in the dashboard.|
Add Run filtering by severity|medium|area:web|type:task|Implement frontend Run filtering by severity for improved UX.|Run filtering by severity is visible and functional in the dashboard.|
Add Run QA checklist|medium|area:web|type:task|Implement frontend Run QA checklist for improved UX.|Run QA checklist is visible and functional in the dashboard.|
Add run sanity check pipeline page|medium|area:web|type:feature|Add page to hold pre-run sanity checks, validations and gating options.|Sanity checks can be run and status persists.|
Add shareable permalink for run report|medium|area:web|type:feature|Create stable URL for a specific run and applied filters.|Copy link action shares the same report view for other users.|
Add signature trend charts|medium|area:web|type:feature|Visualize crash signature frequency trends across recent runs.|Charts support area and severity filters with readable legends.|
Build campaign configuration form|medium|area:web|type:feature|Create UI form for run profile seed source and auth mode settings.|Submitted config persists and launches campaign with expected parameters.|
Build crash detail drawer UI|medium|area:web|type:feature|Show failure category signature payload and replay action in side drawer.|Drawer opens from history row and preserves browser state.|
Build replay from UI action|medium|area:web|type:feature|Trigger seed replay directly from crash detail panel.|Replay action shows status and links to resulting run.|
Build resource fee insight panel|medium|area:web|type:feature|Display cpu mem and min resource fee with warning thresholds.|Panel flags expensive runs and links to related run details.|
Create Advanced dashboard filters page|medium|area:web|type:feature|Implement frontend Advanced dashboard filters for improved UX.|Advanced dashboard filters is visible and functional in the dashboard.|
Create Alerting settings page page|medium|area:web|type:feature|Implement frontend Alerting settings page for improved UX.|Alerting settings page is visible and functional in the dashboard.|
Create cross-run board custom widgets|medium|area:web|type:feature|Add configurable widget components for cross-run dashboards.|Widgets can be saved, reloaded, and reordered.|
Create Run issue link page page|medium|area:web|type:feature|Implement frontend Run issue link page for improved UX.|Run issue link page is visible and functional in the dashboard.|
Create Sanity check pipeline page page|medium|area:web|type:feature|Implement frontend Sanity check pipeline page for improved UX.|Sanity check pipeline page is visible and functional in the dashboard.|
Implement alerting settings page|medium|area:web|type:feature|Page to configure threshold alerts for crash rate spikes. (Issue seed 54)|Users can set conditions with enabled toggles.|
Implement Artifact preview modal component|medium|area:web|type:feature|Implement frontend Artifact preview modal for improved UX.|Artifact preview modal is visible and functional in the dashboard.|
Implement Crash detail drawer component|medium|area:web|type:feature|Implement frontend Crash detail drawer for improved UX.|Crash detail drawer is visible and functional in the dashboard.|
Implement Cross-run board widgets component|medium|area:web|type:feature|Implement frontend Cross-run board widgets for improved UX.|Cross-run board widgets is visible and functional in the dashboard.|
Implement Log viewer component|medium|area:web|type:feature|Implement frontend Log viewer for improved UX.|Log viewer is visible and functional in the dashboard.|
Implement Resource fee insight panel component|medium|area:web|type:feature|Implement frontend Resource fee insight panel for improved UX.|Resource fee insight panel is visible and functional in the dashboard.|
Implement Run detail modal component|medium|area:web|type:feature|Implement frontend Run detail modal for improved UX.|Run detail modal is visible and functional in the dashboard.|
Implement Run history table component|medium|area:web|type:feature|Implement frontend Run history table for improved UX.|Run history table is visible and functional in the dashboard.|
Implement Widget layout editor component|medium|area:web|type:feature|Implement frontend Widget layout editor for improved UX.|Widget layout editor is visible and functional in the dashboard.|
Add Failure classification taxonomy|high|area:web|type:task|Implement frontend Failure classification taxonomy for improved UX.|Failure classification taxonomy is visible and functional in the dashboard.|
Add Heatmap interactions|high|area:web|type:task|Implement frontend Heatmap interactions for improved UX.|Heatmap interactions is visible and functional in the dashboard.|
Add live run progress timeline|high|area:web|type:feature|Render live timeline of campaign milestones and failure discovery events.|Timeline updates incrementally and supports pause resume markers.|
Add Replay from UI action|high|area:web|type:feature|Implement frontend Replay from UI action for improved UX.|Replay from UI action is visible and functional in the dashboard.|
Add Run cluster overview|high|area:web|type:task|Implement frontend Run cluster overview for improved UX.|Run cluster overview is visible and functional in the dashboard.|
Add Run cluster visualization|high|area:web|type:task|Implement frontend Run cluster visualization for improved UX.|Run cluster visualization is visible and functional in the dashboard.|
Add Run comparison|high|area:web|type:task|Implement frontend Run comparison for improved UX.|Run comparison is visible and functional in the dashboard.|
Add Run comparison builder|high|area:web|type:feature|Implement frontend Run comparison builder for improved UX.|Run comparison builder is visible and functional in the dashboard.|
Add Run comparison charts|high|area:web|type:task|Implement frontend Run comparison charts for improved UX.|Run comparison charts is visible and functional in the dashboard.|
Add Run heatmap|high|area:web|type:task|Implement frontend Run heatmap for improved UX.|Run heatmap is visible and functional in the dashboard.|
Add Run replay UI|high|area:web|type:feature|Implement frontend Run replay UI for improved UX.|Run replay UI is visible and functional in the dashboard.|
Add Run status timeline|high|area:web|type:task|Implement frontend Run status timeline for improved UX.|Run status timeline is visible and functional in the dashboard.|
Add Run timeline|high|area:web|type:task|Implement frontend Run timeline for improved UX.|Run timeline is visible and functional in the dashboard.|
Add state change diff view|high|area:web|type:feature|Render readable before and after ledger entry changes from simulation output.|Diff highlights created updated deleted changes with type labels.|
Create run heatmap page|high|area:web|type:feature|Show heatmap of runtime regressions across contracts. (Issue seed 55)|Heatmap is interactive and has legend semantics.|
Implement failure cluster view|high|area:web|type:feature|Cluster related crashes by signature and context to reduce triage noise.|Cluster view links to representative sample and grouped count.|
Implement run workflow board page|high|area:web|type:feature|Kanban-like board for run states (open/in-review/closed). (Issue seed 58)|Drag and drop moves state and persists.|
Implement Timeline scrubber component component|high|area:web|type:feature|Implement frontend Timeline scrubber component for improved UX.|Timeline scrubber component is visible and functional in the dashboard.|
