title|complexity|area|type|summary|acceptance|status
Add vec and map size stress mutator|medium|area:fuzzer|type:feature|Exercise container growth and sparse key patterns for host function inputs.|Configurable min and max sizes with deterministic generation.|
Add weekly triage cadence automation|medium|area:ops|type:feature|Automate recurring triage reminders and issue queue snapshots.|Automation posts summary with pending high-priority actions.|
Build crash detail drawer UI|medium|area:web|type:feature|Show failure category signature payload and replay action in side drawer.|Drawer opens from history row and preserves browser state.|
Build failure classification taxonomy|medium|area:runtime|type:feature|Map raw failures to stable categories like auth budget state and xdr.|Classification logic is documented and covered by tests.|
Build replay from UI action|medium|area:web|type:feature|Trigger seed replay directly from crash detail panel.|Replay action shows status and links to resulting run.|
Build resource fee insight panel|medium|area:web|type:feature|Display cpu mem and min resource fee with warning thresholds.|Panel flags expensive runs and links to related run details.|
Build run history table UI|trivial|area:web|type:task|Implement dashboard table listing run id status duration and seed count.|Table supports basic pagination and links to run detail.|implemented
Create architecture diagram documentation|trivial|area:docs|type:task|Document system architecture including data flow between fuzzer generator and web.|Diagram and text are included in repository docs.|
Create cross-run board custom widgets [70]|medium|area:web|type:feature|Add configurable widget components for cross-run dashboards.|Widgets can be saved, reloaded, and reordered.|
Create numeric boundary mutator for i128 and u128|medium|area:fuzzer|type:feature|Generate edge values near overflow and underflow ranges.|Mutator emits boundary vectors and test asserts include min max neighbors.|implemented
Create threat model draft for artifact handling|high|area:security|type:feature|Build threat model for input ingestion artifact storage and report export.|Threat model lists abuse cases mitigations and open risks.|
Define escalation policy for blocked PRs|medium|area:ops|type:feature|Set explicit escalation path when contributor PRs are blocked by dependencies.|Policy includes timing thresholds and communication template.|
Document Security Hardening Assumptions|medium|area:security|type:task|Document the security hardening assumptions covering fuzz input handling and artifact storage.|Documentation exists in README.md, CONTRIBUTING.md, and MAINTAINER_WAVE_PLAYBOOK.md with clear trust boundaries and mitigation controls.|implemented
Document issue triage board queries|medium|area:ops|type:feature|Add saved search conventions for pending review stale and blocked issues.|Maintainers can follow documented queries without manual guesswork.|
Document wave issue complexity rubric|trivial|area:docs|type:task|Publish rubric for assigning trivial medium and high complexity accurately.|Rubric includes examples from current backlog areas.|
Export failing seed as JSON scenario|trivial|area:generator|type:task|Allow exporting normalized JSON scenario for cross tool reuse.|Scenario includes seed id input payload mode and expected failure class.|
Export failing seed as Rust regression fixture|high|area:generator|type:feature|Generate a Rust test snippet from a failing bundle for contract suites.|Output compiles in sample harness and fails before patch succeeds after patch.|
Implement flaky reproducer detector|medium|area:generator|type:feature|Detect non-deterministic repro cases and flag them for quarantine.|Detector reports flake rate and excludes unstable fixtures from CI pack.|
Implement run health summary endpoint|medium|area:runtime|type:feature|Provide health summary with throughput failures and queue depth metrics.|Endpoint returns machine-readable summary for dashboard polling.|
Implement run resume from checkpoint|high|area:runtime|type:feature|Resume interrupted campaigns from persisted checkpoints.|Resumed run continues from last checkpoint without reprocessing completed seeds.|
Implement secret scanning guidance for contributors|trivial|area:security|type:task|Document pre-commit secret scanning expectations and remediation steps.|Guide includes recommended tools and response process.|
Implement seed schema validator|trivial|area:fuzzer|type:task|Validate incoming seed payloads against a strict schema before execution.|Reject malformed fields with clear errors and accept valid payloads.|
Implement weighted mutator scheduler|high|area:fuzzer|type:feature|Schedule mutators by configurable weights to balance exploration and exploitation.|Run stats show mutator usage distribution matches configured weights.|implemented
Persist failing case bundle format|medium|area:runtime|type:feature|Store seed input context env and failure payload in a portable bundle.|Bundle can be saved loaded and versioned with schema field.|
Write reproducibility guarantees documentation|medium|area:docs|type:feature|Document deterministic guarantees and known limits across environments.|Docs include examples and troubleshooting for mismatched replay outcomes.|
